time,total_length,FPS,behavior,behavioral_category,status,participantID,block
24.908,104.620,19.03,BC,BrickClick,POINT,12,3
24.908,104.620,19.03,u_3_ob,3Orange,STOP,12,3
25.276,104.620,19.03,l_base,Base,STOP,12,3
25.381,104.620,19.03,l_1t,1transparent,POINT,12,3
25.539,104.620,19.03,l_4r_1,4Red,POINT,12,3
25.854,104.620,19.03,u_4r_1,4Red,START,12,3
26.222,104.620,19.03,u_4r_1,4Red,STOP,12,3
27.378,104.620,19.03,l_base,Base,START,12,3
28.797,104.620,19.03,BC,BrickClick,POINT,12,3
28.902,104.620,19.03,l_base,Base,STOP,12,3
28.902,104.620,19.03,u_4r_1,4Red,START,12,3
29.007,104.620,19.03,l_4yr_2,4YellowRound,POINT,12,3
29.007,104.620,19.03,u_4yr_2,4YellowRound,START,12,3
30.058,104.620,19.03,l_base,Base,START,12,3
31.214,104.620,19.03,BC,BrickClick,POINT,12,3
31.582,104.620,19.03,l_base,Base,STOP,12,3
31.634,104.620,19.03,u_4yr_2,4YellowRound,STOP,12,3
31.687,104.620,19.03,l_3_os,3Orange,POINT,12,3
31.897,104.620,19.03,l_4r_2,4Red,POINT,12,3
32.317,104.620,19.03,u_4r_2,4Red,START,12,3
32.370,104.620,19.03,l_4yr_3,4YellowRound,POINT,12,3
32.738,104.620,19.03,l_3_os,3Orange,POINT,12,3
33.263,104.620,19.03,l_base,Base,START,12,3
37.257,104.620,19.03,BC,BrickClick,POINT,12,3
37.257,104.620,19.03,u_4r_2,4Red,STOP,12,3
37.415,104.620,19.03,l_base,Base,STOP,12,3
37.467,104.620,19.03,l_4yr_3,4YellowRound,POINT,12,3
37.782,104.620,19.03,u_4yr_3,4YellowRound,START,12,3
37.888,104.620,19.03,l_base,Base,START,12,3
38.833,104.620,19.03,BC,BrickClick,POINT,12,3
38.886,104.620,19.03,u_4yr_3,4YellowRound,STOP,12,3
38.939,104.620,19.03,l_base,Base,STOP,12,3
38.991,104.620,19.03,l_1t,1transparent,POINT,12,3
39.517,104.620,19.03,l_base,Base,START,12,3
39.517,104.620,19.03,u_1t,1transparent,START,12,3
43.878,104.620,19.03,BC,BrickClick,POINT,12,3
43.931,104.620,19.03,u_1t,1transparent,STOP,12,3
