time,total_length,FPS,behavior,behavioral_category,status,participantID,block,start_timestamp,duration_ms,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,confidence,time_pupil,time_dif
87.469,93.27,20.11,u_4yr_3,4YellowRound,STOP,18,3,9034.30321,80.01750000039465,1728,1731,0.8397000531938211,0.40595986293227737,0.897960829412902,87.63310199999978,0.16410199999978659
87.568,93.27,20.11,l_conf,Configuration,POINT,18,3,9034.30321,80.01750000039465,1728,1731,0.8397000531938211,0.40595986293227737,0.897960829412902,87.63310199999978,0.06510199999978283
87.966,93.27,20.11,l_base,Base,START,18,3,9034.664348,216.41749999980675,1738,1743,0.3849967043862304,0.4715994464030332,0.9127406513963577,87.99423999999999,0.028239999999996712
88.215,93.27,20.11,u_conf,Configuration,START,18,3,9034.886825000001,234.4104999992851,1743,1747,0.3649457654592887,0.4473383764644443,0.8781451636467215,88.21671700000115,0.0017170000011503816
89.707,93.27,20.11,BC,BrickClick,POINT,18,3,9036.4585815,224.46000000127242,1777,1782,0.45237583508943296,0.33032409336805074,0.7608934091866921,89.78847349999887,0.08147349999887865
90.254,93.27,20.11,u_conf,Configuration,STOP,18,3,9036.967920000001,88.12299999954121,1790,1792,0.4458736999421663,0.3340938231765416,0.7724756399684066,90.2978120000007,0.04381200000069896
91.348,93.27,20.11,Acc,Accidents,STOP,18,3,9038.423245,95.55300000101852,1828,1830,0.44992879337735336,0.19867111302874702,0.8284444184764432,91.7531369999997,0.4051369999996979
91.348,93.27,20.11,l_base,Base,STOP,18,3,9038.423245,95.55300000101852,1828,1830,0.44992879337735336,0.19867111302874702,0.8284444184764432,91.7531369999997,0.4051369999996979
91.348,93.27,20.11,u_base,Base,STOP,18,3,9038.423245,95.55300000101852,1828,1830,0.44992879337735336,0.19867111302874702,0.8284444184764432,91.7531369999997,0.4051369999996979
3.202,63.78,24.05,l_4yr_1,4YellowRound,POINT,19,1,14882.3065915,85.32000000013795,87,89,0.3315347634439646,0.261519450904277,0.8563349192153199,3.304748500000642,0.10274850000064184
3.784,63.78,24.05,l_2dr_1,2DarkRed,POINT,19,1,14882.655888000001,217.21999999863328,97,104,0.4355065043547256,0.25969865613162757,0.9644661671696174,3.6540450000011333,0.1299549999988665
5.821,63.78,24.05,l_4r_1,4Red,POINT,19,1,14884.887344,86.62399999957415,162,165,0.3140811361876219,0.5142990611647026,0.8085342691557541,5.885501000000659,0.06450100000065895
5.988,63.78,24.05,l_4r_2,4Red,POINT,19,1,14885.061352,461.5169999997306,167,181,0.34052466918204116,0.4170845773904969,0.7365480353777393,6.059509000000617,0.07150900000061622
